Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Industry,Business Description,Company Website,Started in,Number of Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Amit Present,Ashneer Present,Guest Present,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Ghazal Present,Vikas Investment Amount,Vikas Investment Equity,Vikas Debt Amount,Vikas Present,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Ritesh Present,Azhar Investment Amount,Azhar Investment Equity,Azhar Debt Amount,Azhar Present,Radhika Investment Amount,Radhika Investment Equity,Radhika Debt Amount,Radhika Present,Deepinder Investment Amount,Deepinder Investment Equity,Deepinder Debt Amount,Deepinder Present,Ronnie Investment Amount,Ronnie Investment Equity,Ronnie Debt Amount,Ronnie Present,Varun Investment Amount,Varun Investment Equity,Varun Debt Amount,Varun Present
1,BluePineFoods,1,1,20-Dec-21,4-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Food,Frozen Momos,https://bluepinefoods.com/,2016.0,3,Middle,Delhi,Delhi,95.0,8.0,,,,,,,,50.0,5.0,1000.0,1,1.0,75.0,16.0,,,469.0,3.0,,,,,,,25.0,5.33,,,,,25.0,5.33,,,,,,,,25.0,5.33,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BoozScooters,1,2,20-Dec-21,4-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,2017.0,1,Young,Ahmedabad,Gujarat,4.0,0.4,,,,,,,,40.0,15.0,267.0,1,1.0,40.0,50.0,,,80.0,2.0,,,,,,,20.0,25.0,,,,,,,,,,,,,,20.0,25.0,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HeartUpMySleeves,1,3,20-Dec-21,4-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Beauty/Fashion,Detachable Sleeves,https://heartupmysleeves.com/,2021.0,1,Young,Delhi,Delhi,,2.0,,,,,,,,25.0,10.0,250.0,1,1.0,25.0,30.0,,,83.0,2.0,,,,,,,12.5,15.0,,12.5,15.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TagzFoods,2,4,20-Dec-21,4-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Food,Healthy Potato Chips Snacks,https://tagzfoods.com/,2019.0,2,Middle,Bangalore,Karnataka,700.0,,48.0,,,,,,,70.0,1.0,7000.0,1,1.0,70.0,2.75,,,2545.0,1.0,,,,,,,,,,,,,,,,,,,,,,70.0,2.75,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HeadAndHeart,2,5,20-Dec-21,4-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Education,Brain Development Course,https://thehnh.in/,2015.0,4,Middle,Patiala,Punjab,30.0,,,,,,,,,50.0,5.0,1000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Agritourism,2,6,20-Dec-21,4-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Agriculture,Tourism,https://www.agritourism.in/,2005.0,2,Middle,Baramati,Maharashtra,79.0,,,,,,,,,50.0,5.0,1000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,qZenseLabs,3,7,20-Dec-21,4-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Food,Food Freshness Detector,https://www.qzense.com/,2020.0,2,Middle,Delhi,Delhi,25.0,15.0,,,,,,yes,,100.0,0.25,40000.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Peeschute,3,8,20-Dec-21,4-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Beauty/Fashion,Disposable Urine Bag,https://www.peeschute.com/,2019.0,1,Young,Jalna,Maharashtra,100.0,,,,,,2.0,,,75.0,4.0,1875.0,1,1.0,75.0,6.0,,,1250.0,1.0,,,,,,,,,,,,,75.0,6.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NOCD,3,9,20-Dec-21,4-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Food,Energy Drink,https://www.jouleshealth.com/,2019.0,2,Middle,Bangalore,Karnataka,,20.0,,,,,,,,50.0,2.0,2500.0,1,1.0,20.0,15.0,30.0,,133.0,1.0,yes,,,,,,20.0,15.0,30.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CosIQ,4,10,20-Dec-21,4-Feb-22,23-Dec-21,Entrepreneurship Ki Wave,Beauty/Fashion,Intelligent Skincare,https://mycosiq.com/,2021.0,2,Middle,Delhi,Delhi,0.0,4.0,75.0,20.0,,,8.0,,,50.0,7.5,667.0,1,1.0,50.0,25.0,,,200.0,2.0,,,,,,,25.0,12.5,,25.0,12.5,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
